30_k_R,30_k_I,30_k_E,30_k_nu
-0.07938865321996394,0.14565361858279674,-65.84728236647231,-4.0
0.07161320171905129,0.08446196205656159,-20.354712353306564,-1.5636270041938563
0.09234521973082979,0.03845925855386207,-2.057101545006776,-0.02694968886735616
0.06713308031952267,0.001444809055799876,-10.421265506559386,-0.471831519023755
0.014693728889638605,0.10386526048050182,1.8499211646198344,0.023800511741282726
0.1516937738666893,0.05145657625605471,-26.42512948129133,-2.3530409241623644
-0.043960839588545034,0.09046317534209067,26.424008767859057,2.3540099017396177
-0.07750775534391327,0.1445004215078866,65.84808760012474,4.0
0.035768625275431766,0.057695747256468706,20.35460980268992,1.5645354206725308
0.01496117961946477,0.10385312847441519,2.1149756475402914,0.027858105346030726
0.04011004001519483,0.14090597660541818,10.421251984622907,0.4718315190237554
0.09260841733966209,0.038436616174532,-1.9108705771186711,-0.025011733712849704
